Individu,Date_voyage,Code_pays
Nixon,1969-01-01T00:00:00.000Z,IDN
Ford,1975-01-01T00:00:00.000Z,IDN
Reagan,1986-01-01T00:00:00.000Z,IDN
Clinton,1994-01-01T00:00:00.000Z,IDN
Bush,2003-01-01T00:00:00.000Z,IDN
Obama,2010-01-01T00:00:00.000Z,IDN
Biden,2022-01-01T00:00:00.000Z,IDN
Obama,2016-01-01T00:00:00.000Z,LAO
Johnson,1966-01-01T00:00:00.000Z,MYS
Obama,2014-01-01T00:00:00.000Z,MYS
Obama,2012-01-01T00:00:00.000Z,MMR
Eisenhower,1960-01-01T00:00:00.000Z,PHL
Johnson,1966-01-01T00:00:00.000Z,PHL
Nixon,1969-01-01T00:00:00.000Z,PHL
Ford,1975-01-01T00:00:00.000Z,PHL
Clinton,1994-01-01T00:00:00.000Z,PHL
Bush,2003-01-01T00:00:00.000Z,PHL
Obama,2014-01-01T00:00:00.000Z,PHL
Trump,2017-01-01T00:00:00.000Z,PHL
Bush,1992-01-01T00:00:00.000Z,SGP
Bush,2003-01-01T00:00:00.000Z,SGP
Obama,2009-01-01T00:00:00.000Z,SGP
Trump,2018-01-01T00:00:00.000Z,SGP
Johnson,1966-01-01T00:00:00.000Z,VNM
Nixon,1969-01-01T00:00:00.000Z,VNM
Johnson,1966-01-01T00:00:00.000Z,THA
Nixon,1969-01-01T00:00:00.000Z,THA
Clinton,1996-01-01T00:00:00.000Z,THA
Bush,2003-01-01T00:00:00.000Z,THA
Obama,2012-01-01T00:00:00.000Z,THA
Clinton,2000-01-01T00:00:00.000Z,VNM
Bush,2006-01-01T00:00:00.000Z,VNM
Obama,2016-01-01T00:00:00.000Z,VNM
Trump,2017-01-01T00:00:00.000Z,VNM
Biden,2023-01-01T00:00:00.000Z,VNM
Bush,2008-01-01T00:00:00.000Z,BHR
Bush,2005-01-01T00:00:00.000Z,GEO
Roosevelt,1943-01-01T00:00:00.000Z,IRN
Eisenhower,1959-01-01T00:00:00.000Z,IRN
Nixon,1972-01-01T00:00:00.000Z,IRN
Carter,1978-01-01T00:00:00.000Z,IRN
Bush,2003-01-01T00:00:00.000Z,IRQ
Obama,2009-01-01T00:00:00.000Z,IRQ
Trump,2018-01-01T00:00:00.000Z,IRQ
Nixon,1974-01-01T00:00:00.000Z,ISR
Carter,1979-01-01T00:00:00.000Z,ISR
Clinton,1994-01-01T00:00:00.000Z,ISR
Bush,2008-01-01T00:00:00.000Z,ISR
Obama,2013-01-01T00:00:00.000Z,ISR
Trump,2017-01-01T00:00:00.000Z,ISR
Biden,2022-01-01T00:00:00.000Z,ISR
Nixon,1974-01-01T00:00:00.000Z,JOR
Clinton,1994-01-01T00:00:00.000Z,JOR
Bush,2003-01-01T00:00:00.000Z,JOR
Obama,2013-01-01T00:00:00.000Z,JOR
Clinton,1994-01-01T00:00:00.000Z,KWT
Bush,2008-01-01T00:00:00.000Z,KWT
Clinton,2000-01-01T00:00:00.000Z,OMN
Clinton,1998-01-01T00:00:00.000Z,PSE
Bush,2008-01-01T00:00:00.000Z,PSE
Obama,2013-01-01T00:00:00.000Z,PSE
Trump,2017-01-01T00:00:00.000Z,PSE
Biden,2022-01-01T00:00:00.000Z,PSE
Bush,2003-01-01T00:00:00.000Z,QAT
Nixon,1974-01-01T00:00:00.000Z,SAU
Carter,1978-01-01T00:00:00.000Z,SAU
Bush,1990-01-01T00:00:00.000Z,SAU
Clinton,1994-01-01T00:00:00.000Z,SAU
Bush,2008-01-01T00:00:00.000Z,SAU
Obama,2009-01-01T00:00:00.000Z,SAU
Trump,2017-01-01T00:00:00.000Z,SAU
Biden,2022-01-01T00:00:00.000Z,SAU
Nixon,1974-01-01T00:00:00.000Z,SYR
Clinton,1994-01-01T00:00:00.000Z,SYR
Eisenhower,1959-01-01T00:00:00.000Z,TUR
Bush,1991-01-01T00:00:00.000Z,TUR
Clinton,1999-01-01T00:00:00.000Z,TUR
Bush,2004-01-01T00:00:00.000Z,TUR
Obama,2009-01-01T00:00:00.000Z,TUR
Bush,2008-01-01T00:00:00.000Z,ARE
Clinton,1994-01-01T00:00:00.000Z,BLR
Clinton,1999-01-01T00:00:00.000Z,BGR
Bush,2007-01-01T00:00:00.000Z,BGR
Clinton,1994-01-01T00:00:00.000Z,CZE
Bush,2002-01-01T00:00:00.000Z,CZE
Obama,2009-01-01T00:00:00.000Z,CZE
Bush,1990-01-01T00:00:00.000Z,CZE
Bush,1989-01-01T00:00:00.000Z,HUN
Clinton,1994-01-01T00:00:00.000Z,HUN
Bush,2006-01-01T00:00:00.000Z,HUN
